ID,Land / Regio,Duur,Bestemming,Reistype / Doel,Seizoen,Budget,Accommodatie,Opmerking
1,Italië,5-8 dagen,Europa,Roadtrip,Zomer,1200,Hotel,Mooie wijnstreek
2,Japan,10+ dagen,Azië,Roadtrip,Lente,2500,Hostel,Sakura bloesem
3,Zuid-Frankrijk,10+ dagen,Europa,Rust,Zomer,1400,Vakantiehuis,Nabij strand
4,IJsland,4-8 dagen,Europa,Wandelen,Herfst,1700,Guesthouse,Veel watervallen
5,USA,10+ dagen,Amerika,Citytrip,Winter,2600,Hotel,New York bezoeken
6,Portugal,4-8 dagen,Europa,Wandelen,Lente,800,Hostel,Mooie kust
7,Albanie,5-8 dagen,Europa,Wandelen,Lente,800,Hotel,Veel natuur
8,Schotland,4-8 dagen,Europa,Citytrip,Zomer,1000,Hotel,Edinburgh
9,Engeland,4-8 dagen,Europa,Roadtrip,Lente,800,Hostel,Wandelen en kliffen
10,Lapland,10+ dagen,Europa,Wandelen,Winter,2500,Hotel,Noorderlicht
11,Ierland,4-8 dagen,Europa,Wandelen,Lente,600,Hostel,Kliffen
12,Singapore,5-8 dagen,Azië,Roadtrip,Herfst,1000,Hostel,Marina Bay Sands
13,USA,10+ dagen,Amerika,Roadtrip,Zomer,2000,Hotel,San Francisco & Hawaii
14,USA,10+ dagen,Amerika,Roadtrip,Lente,3000,Hotel,Nationale parken
15,Japan,5-8 dagen,Azië,Citytrip,Herfst,1000,Hotel,Disneyland & Universal Studios
16,Italie,4-8 dagen,Europa,Citytrip,Lente,600,Hotel,Stad bezoeken
17,Frankrijk,1-2 dagen,Europa,Weekend,Lente,500,Hotel,Disneyland
18,België,1-3 dagen,Europa,Weekend,Herfst,400,Vakantiehuis,Ardennen
19,Nederland,1-3 dagen,Europa,Weekend,Lente,400,Vakantiehuis,Scheveningen
20,Belgie,1 dag,Europa,Daguitstap,Winter,100,Hotel,Wellness